project_name,sector_type,country,installed_capacity_mw,operational_status,owner,equity_stake_owner,equity_stake_operator,country_of_company_hq,company_type,company_type_for_label,is_operator,lender_type,substances,deal_type,parent_org,pid
montagne_dor,mining,french_guiana,,nan,orea_mining,0.45,1.0,canada,junior_exploration,junior_exploration,yes,nan,gold,partial_change_in_equity,orea_mining,qnqmhi
montagne_dor,mining,french_guiana,,nan,nordgold,0.55,0.0,russia,small_to_midtier_producer,small_to_midtier_producer,no,nan,gold,partial_change_in_equity,nordgold,xamhvj
montes_aureos,mining,brazil,,nan,goldmining,0.51,1.0,canada,junior_exploration,junior_exploration,yes,nan,gold,partial_change_in_equity,goldmining,cyvbde
montes_aureos,mining,brazil,,nan,apoio_engenharia_e_mineracao,0.49,0.0,brazil,other,other,no,nan,gold,partial_change_in_equity,apoio_engenharia_e_mineracao,navkow
morabisi,mining,guyana,,nan,guyana_strategic_metals,0.5,1.0,canada,junior_exploration,junior_exploration,yes,nan,lithium_tantalum,greenfield,guyana_strategic_metals,rek9ia
morabisi,mining,guyana,,nan,greenpower_energy_limited,0.5,0.0,australia,other,other,no,nan,lithium_tantalum,greenfield,greenpower_energy_limited,e05nmb
ollachea,mining,peru,,nan,minera_irl,1.0,1.0,australia,other,other,yes,investment_bank_domestic_development_bankfund_investment_bank,gold,full_asset_transaction,minera_irl,nrehbl
onca_puma,mining,brazil,,nan,vale,1.0,1.0,brazil,major,major,yes,nan,nickel,greenfield,vale,zkd5x7
orquideascascas,mining,ecuador,,nan,luminex_resources,1.0,1.0,canada,junior_exploration,junior_exploration,yes,nan,copper_molybdenum,greenfield,luminex_resources,1utx6y
pampa_colorada,mining,peru,,nan,origen_group,1.0,1.0,china,other,other,yes,nan,gold,full_asset_transaction,origen_group,ra1kfl
pampa_verde,mining,peru,,nan,rio_tinto_minera_peru_limitada,1.0,1.0,uk,major,major,yes,nan,copper_molybdenum,greenfield,rio_tinto,ekdzhr
panantzasan_carlos,mining,ecuador,,nan,explorcobres,1.0,1.0,china,soe,stateowned_enterprise,yes,nan,copper_gold_molybdenum_silver,greenfield,explorcobres,hrg8cn
pantera,mining,brazil,,nan,avanco_resources,1.0,1.0,australia,small_to_midtier_producer,small_to_midtier_producer,yes,nan,copper,full_asset_transaction,avanco_resources,fgch3p
pebas,mining,brazil,,nan,centaurus_metals,1.0,1.0,australia,junior_exploration,junior_exploration,yes,nan,copper_gold,greenfield,centaurus_metals,btb3za
planalto,mining,brazil,,nan,lara_exploration,0.5,0.0,canada,junior_exploration,junior_exploration,no,nan,copper,greenfield,lara_exploration,waqgqx
planalto,mining,brazil,,nan,capstone_mining,0.5,1.0,canada,small_to_midtier_producer,small_to_midtier_producer,yes,nan,copper,greenfield,capstone_mining,pkoo7m
porvenir,mining,ecuador,,nan,solgold,1.0,1.0,australia,junior_exploration,junior_exploration,yes,nan,copper,greenfield,solgold,02pi5z
quartzstone_gold_project,mining,guyana,,nan,wbd_gold,1.0,1.0,guyana,junior_exploration,junior_exploration,yes,nan,gold,greenfield,wbd_gold,3wsu9b
rhea,mining,french_guiana,,nan,orea_mining,1.0,1.0,canada,junior_exploration,junior_exploration,yes,nan,gold,greenfield,orea_mining,8bhsvd
rio_blanco,mining,peru,,nan,rio_blanco_copper,1.0,1.0,china,soe,stateowned_enterprise,yes,commercial_bank_commercial_bank_commercial_bank_commercial_bank_investment_bank,copper_molybdenum,greenfield,rio_blanco_copper,zpeyun
rio_zarza,mining,ecuador,,nan,tempus_resources_limited,1.0,1.0,australia,junior_exploration,junior_exploration,yes,investment_bank_investment_bank_nonbank_financial_institution_commercial_bank_investment_bank_foreign_development_bankfund_commercial_bank,gold_silver,full_asset_transaction,tempus_resources_limited,gjyens
rioja,mining,peru,,nan,cementos_selva,1.0,1.0,peru,other,other,no,nan,clays_calcite_limestone,greenfield,cementos_selva,f8ypyu
rosebel,mining,suriname,,nan,iamgold,1.0,1.0,canada,small_to_midtier_producer,small_to_midtier_producer,yes,nan,gold,greenfield,iamgold,kzqvo9
s11d_carajas_serra_sul,mining,brazil,,nan,vale,1.0,1.0,brazil,major,major,yes,domestic_development_bankfund,iron_ore,greenfield,vale,vdm3na
saintelie,mining,french_guiana,,nan,societe_des_mines_de_saintelie,1.0,1.0,france,small_to_midtier_producer,small_to_midtier_producer,yes,nan,gold,greenfield,societe_des_mines_de_saintelie,nomqm0
salinas_pilluana,mining,peru,,nan,quimpac,1.0,1.0,peru,other,other,no,nan,salt,greenfield,quimpac,qda4nq
salobo_i_ii_iii,mining,brazil,,nan,vale,1.0,1.0,brazil,major,major,yes,domestic_development_bankfund,copper,greenfield,vale,2re2so
salobo_west_i__ii,mining,brazil,,nan,vale,1.0,1.0,brazil,major,major,yes,nan,copper_gold,greenfield,vale,wxa0o9
san_martin,mining,peru,,nan,hannan_metals,1.0,1.0,canada,junior_exploration,junior_exploration,yes,nan,copper_silver,greenfield,hannan_metals,tpn4ys
san_simon,mining,bolivia,,nan,steinmar,1.0,1.0,bolivia,small_to_midtier_producer,small_to_midtier_producer,yes,nan,gold,mergeracquisition,steinmar,langly
santa_helena,mining,brazil,,nan,altamira_gold,1.0,1.0,canada,junior_exploration,junior_exploration,yes,nan,copper_gold,greenfield,altamira_gold,i9jnnm
sao_chico,mining,brazil,,nan,serabi_gold,1.0,1.0,uk,small_to_midtier_producer,small_to_midtier_producer,yes,private_equity,gold,mergeracquisition,serabi_gold,abidsw
sao_jorge,mining,brazil,,nan,goldmining,1.0,1.0,canada,junior_exploration,junior_exploration,yes,nan,gold,mergeracquisition,goldmining,xl3epb
saramacca,mining,suriname,,nan,iamgold,0.7,0.5,canada,small_to_midtier_producer,small_to_midtier_producer,yes,nan,gold,greenfield,iamgold,jf9kkf
saramacca,mining,suriname,,nan,staatsolie_maatschappij_suriname_staatsolie,0.3,0.5,suriname,soe,stateowned_enterprise,yes,nan,gold,greenfield,staatsolie,1r2yem
